city,recorded_at,hour,day_of_week,day_of_week_name,month,season,is_daytime,is_weekend,aqi,aqi_category,dominant_pollutant,pm25,pm10,no2,o3,co,so2,temp_c,dew_point_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_cardinal,visibility_km,weather_main,cloud_cover_pct
Delhi,2026-06-03 12:00:00,12,2,Wednesday,6,Monsoon,1,0,92,Moderate,pm25,92,87,9.6,28.6,1.5,13.8,37.21,22.21,25,1002,0.75,2.6,S,10.0,Clear,0
Chennai,2026-06-03 12:00:00,12,2,Wednesday,6,Monsoon,1,0,74,Moderate,pm25,74,46,5.0,13.4,9.9,2.0,38.23,27.83,48,1005,0.45,0.89,W,10.0,Clouds,100
Kolkata,2026-06-03 12:00:00,12,2,Wednesday,6,Monsoon,1,0,84,Moderate,pm25,84,53,9.3,14.8,3.8,6.4,40.39,26.19,29,1001,4.36,4.15,S,10.0,Clear,0
Mumbai,2026-06-03 23:00:00,23,2,Wednesday,6,Monsoon,0,0,80,Moderate,pm25,80,47,2.5,11.6,2.9,11.9,30.29,24.49,71,1007,6.86,6.84,S,10.0,Clear,0
Delhi,2026-06-03 23:00:00,23,2,Wednesday,6,Monsoon,0,0,157,Unhealthy,pm25,157,126,42.5,6.7,5.6,6.5,37.99,21.99,20,999,1.56,2.72,SW,10.0,Clear,1
Chennai,2026-06-03 23:00:00,23,2,Wednesday,6,Monsoon,0,0,77,Moderate,pm25,77,48,5.1,12.1,9.4,2.3,30.04,25.64,78,1007,6.03,7.25,NW,10.0,Clouds,100
Kolkata,2026-06-03 22:00:00,22,2,Wednesday,6,Monsoon,0,0,96,Moderate,pm25,96,56,7.2,6.9,3.2,3.0,30.59,25.59,75,1002,5.86,9.51,S,10.0,Clear,7
Mumbai,2026-06-04 10:00:00,10,3,Thursday,6,Monsoon,1,0,58,Moderate,pm25,58,28,2.4,11.7,2.8,11.9,30.39,24.59,71,1008,5.95,5.93,S,10.0,Clear,10
Delhi,2026-06-04 10:00:00,10,3,Thursday,6,Monsoon,1,0,114,Unhealthy for Sensitive Groups,pm25,114,96,14.4,17.1,2.0,5.7,38.33,22.93,23,1002,2.2,2.26,SW,10.0,Clear,0
Chennai,2026-06-04 10:00:00,10,3,Thursday,6,Monsoon,1,0,71,Moderate,pm25,71,43,4.7,13.6,9.2,2.4,34.94,25.14,51,1006,2.24,2.68,SW,10.0,Clouds,100
Kolkata,2026-06-04 10:00:00,10,3,Thursday,6,Monsoon,1,0,75,Moderate,pm25,75,47,10.7,12.1,4.2,4.0,39.33,26.13,34,1002,4.3,3.54,S,10.0,Clear,5
Mumbai,2026-06-04 19:00:00,19,3,Thursday,6,Monsoon,0,0,109,Unhealthy for Sensitive Groups,pm25,109,61,2.2,11.6,2.3,11.9,30.53,26.33,79,1004,7.14,7.5,SW,10.0,Clear,1
Delhi,2026-06-04 19:00:00,19,3,Thursday,6,Monsoon,0,0,78,Moderate,pm25,78,47,39.6,3.3,5.6,3.5,37.86,21.86,20,997,8.28,10.01,NW,10.0,Clouds,44
Chennai,2026-06-04 19:00:00,19,3,Thursday,6,Monsoon,0,0,73,Moderate,pm25,73,45,5.6,12.1,9.4,1.8,32.07,26.47,72,1004,2.68,4.92,S,10.0,Clouds,100
Kolkata,2026-06-04 18:00:00,18,3,Thursday,6,Monsoon,1,0,92,Moderate,pm25,92,52,7.6,11.3,3.5,2.7,28.18,23.58,77,1002,11.95,17.26,SW,10.0,Clouds,17
Delhi,2026-06-06 15:00:00,15,5,Saturday,6,Monsoon,1,1,129,Unhealthy for Sensitive Groups,pm10,85,129,5.0,19.7,3.7,2.6,40.42,24.62,21,999,7.18,6.69,W,10.0,Clear,5
Chennai,2026-06-06 14:00:00,14,5,Saturday,6,Monsoon,1,1,73,Moderate,pm25,73,45,5.4,12.3,9.9,2.4,37.47,28.87,57,1003,8.63,9.89,S,10.0,Clouds,99
Kolkata,2026-06-06 14:00:00,14,5,Saturday,6,Monsoon,1,1,86,Moderate,pm25,86,48,12.6,8.6,5.2,5.1,33.83,25.43,58,999,5.46,5.35,E,10.0,Clouds,73
Delhi,2026-06-06 17:00:00,17,5,Saturday,6,Monsoon,1,1,123,Unhealthy for Sensitive Groups,pm10,95,123,7.0,22.7,5.5,3.0,35.43,21.83,32,999,7.8,11.32,SW,10.0,Clouds,36
Chennai,2026-06-06 16:00:00,16,5,Saturday,6,Monsoon,1,1,72,Moderate,pm25,72,44,4.6,12.5,8.7,2.2,34.42,27.62,66,1002,1.34,2.68,SE,10.0,Clouds,99
Kolkata,2026-06-06 16:00:00,16,5,Saturday,6,Monsoon,1,1,81,Moderate,pm25,81,42,13.3,7.6,5.9,0.4,33.05,24.45,57,999,3.84,6.54,SE,10.0,Clouds,82
